"star_age" "star_mass" "he_core_mass" "c_core_mass" "o_core_mass" "log_L" "log_LH" "log_LHe" "log_Teff" "log_g" "log_center_T" "log_center_Rho" "center_gamma" "center_h1" "center_he4" "center_c12" "phase"
"1" 1766.36786067929 0.999999932043126 0 0 0 1.74769124750463 -5.14427832428316 -99 3.61121667787835 2.08996734769062 5.73924582087022 -2.50012395369926 0.0671792611407378 0.715399991999916 0.270255137647011 0.00249653582749806 -1
"2" 1860.69470025575 0.999999928891999 0 0 0 1.7437058149771 -5.10241959299374 -99 3.61146235310895 2.09493547977203 5.74158436309797 -2.49313222071352 0.0671780291455022 0.715399991999907 0.270255137647011 0.00249653582749806 -1
"3" 1960.10550068672 0.999999925621539 0 0 0 1.73957540816061 -5.05903581359248 -99 3.61171870662612 2.10009129923684 5.74401190837436 -2.48587637722712 0.0671766477189347 0.715399991999898 0.270255137647011 0.00249653582749806 -1
"4" 2064.86187471823 0.999999922229526 0 0 0 1.73535325755891 -5.01410171201472 -99 3.61200014555952 2.10543920409902 5.74653028392287 -2.47834769025393 0.0671752845044217 0.715399991999886 0.270255137647011 0.00249653582749806 -1
"5" 2175.20957735978 0.999999918714357 0 0 0 1.73089514264737 -4.96760802094546 -99 3.61227090424153 2.11098035221196 5.74914046046312 -2.47054458790349 0.067173870399233 0.715399991999872 0.270255137647011 0.00249653582749806 -1
"6" 2291.38923157065 0.999999915075363 0 0 0 1.72630331064628 -4.91954626050733 -99 3.61255711361977 2.11671702014563 5.75184328575101 -2.46246368019141 0.0671724490603025 0.715399991999856 0.270255137647011 0.00249653582749806 -1
"7" 2413.62294811837 0.999999911311722 0 0 0 1.72158690769108 -4.86990845121634 -99 3.6128613435089 2.12265034102282 5.7546396973863 -2.45410355552954 0.0671709482478509 0.715399991999838 0.270255137647011 0.00249653582749805 -1
"8" 2542.13761159781 0.999999907423162 0 0 0 1.71663140845811 -4.81871711370547 -99 3.6131546293588 2.12877898196659 5.75752875645431 -2.44546461008215 0.0671694927566993 0.715399991999815 0.270255137647011 0.00249653582749805 -1
"9" 2677.29317918459 0.999999903407819 0 0 0 1.71150005217979 -4.76593884892151 -99 3.61345384798463 2.13510721100442 5.76051292450855 -2.43654099983645 0.0671680031606599 0.71539999199979 0.27025513764701 0.00249653582749804 -1
"10" 2820.4079443991 0.99999989924602 0 0 0 1.70636437701781 -4.71132019019354 -99 3.61381042586996 2.14166919590028 5.76360795342661 -2.42728519168808 0.0671664937694726 0.715399991999758 0.27025513764701 0.00249653582749804 -1
"11" 2970.61372042479 0.999999894958362 0 0 0 1.70091951557887 -4.65515670537163 -99 3.61413867973066 2.14842707091991 5.76679660083978 -2.41774868074331 0.0671649765385155 0.71539999199972 0.27025513764701 0.00249653582749803 -1
"12" 3128.52310777501 0.99999989054 0 0 0 1.69532119548569 -4.59738491986136 -99 3.61448002983242 2.15539078950126 5.77008323573468 -2.40791721093462 0.0671635107064232 0.715399991999676 0.27025513764701 0.00249653582749803 -1
"13" 3295.42315481362 0.999999885975667 0 0 0 1.68953856322095 -4.53780886836136 -99 3.61483308761195 2.16258565090184 5.77348043663634 -2.39775647450614 0.0671619195731904 0.715399991999621 0.27025513764701 0.00249653582749803 -1
"14" 3470.33906814048 0.999999881286597 0 0 0 1.68355139831399 -4.47672039715385 -99 3.61518391923279 2.16997614025572 5.77697092194376 -2.38731681634784 0.0671602804586366 0.715399991999556 0.27025513764701 0.00249653582749803 -1
"15" 3655.41916136459 0.999999876446349 0 0 0 1.67742237838775 -4.41379374892964 -99 3.61555893643279 2.17760522687987 5.78057546540224 -2.37653456815408 0.0671586628092275 0.715399991999475 0.27025513764701 0.00249653582749803 -1
"16" 3849.5349927505 0.999999871478267 0 0 0 1.6710806640205 -4.34933086867504 -99 3.61593106325211 2.18543544636677 5.78427605067451 -2.36546486372236 0.0671570107021404 0.715399991999379 0.27025513764701 0.00249653582749803 -1
"17" 4054.31386076478 0.999999866365991 0 0 0 1.66455057900499 -4.28314712345195 -99 3.61631278191586 2.19349240381707 5.78808497058476 -2.35406838362313 0.0671554499597752 0.715399991999259 0.27025513764701 0.00249653582749803 -1
"18" 4269.87978630986 0.999999861114591 0 0 0 1.65798224509003 -4.21528777347599 -99 3.61674028808693 2.20177076013563 5.79200007238982 -2.34235454355434 0.0671538281391768 0.715399991999112 0.27025513764701 0.00249653582749803 -1
"19" 4496.42887849896 0.999999855729077 0 0 0 1.65106406132763 -4.14585211596738 -99 3.61713293777201 2.21025954029947 5.79601604757445 -2.33033675335484 0.0671522749056161 0.715399991998933 0.27025513764701 0.00249653582749803 -1
"20" 4735.07291001407 0.999999850202809 0 0 0 1.64400990232037 -4.07476785027851 -99 3.61754688644047 2.21896949158054 5.80013833531098 -2.31799968481814 0.0671507392673773 0.71539999199871 0.27025513764701 0.00249653582749803 -1
"21" 4986.61702033589 0.999999844534966 0 0 0 1.63671745116489 -4.00205459846619 -99 3.61795648252936 2.22790032463005 5.80436676455765 -2.30534652540149 0.0671490833916577 0.715399991998432 0.27025513764701 0.00249653582749803 -1
"22" 5251.23601011328 0.999999838731597 0 0 0 1.62932184041768 -3.92777277880154 -99 3.61839378938122 2.23704516026433 5.8086982313807 -2.29238239112384 0.0671475235259644 0.715399991998085 0.27025513764701 0.00249653582749803 -1
"23" 5529.67037372509 0.999999832791753 0 0 0 1.6217859327053 -3.85191450028917 -99 3.61885023498717 2.24640684782088 5.81313402230429 -2.2791038637913 0.0671460369168926 0.715399991997653 0.27025513764701 0.00249653582749803 -1
"24" 5822.7418317836 0.999999826715912 0 0 0 1.61404367756356 -3.77450268792845 -99 3.61930882828707 2.25598347352352 5.8176737711308 -2.26551437075426 0.0671445035464385 0.71539999199711 0.27025513764701 0.00249653582749802 -1
"25" 6131.17553154369 0.999999820505527 0 0 0 1.60606085298628 -3.69558399425595 -99 3.61976008791998 2.2657713339353 5.82231557029496 -2.25161950989989 0.0671429298499127 0.715399991996427 0.27025513764701 0.00249653582749802 -1
"26" 6455.85055715253 0.999999814161528 0 0 0 1.59796621842108 -3.61517530256812 -99 3.62023615442352 2.27577023175951 5.82705934643627 -2.23741744566365 0.0671414217630701 0.715399991995562 0.27025513764701 0.00249653582749802 -1
"27" 6797.57912108503 0.999999807683732 0 0 0 1.58974648842771 -3.53302594517659 -99 3.62073747429726 2.28599523843458 5.8318537760178 -2.22299055741548 0.06714366869209 0.715399991994464 0.27025513764701 0.00249653582749802 -1
"28" 7157.05690656622 0.999999801077956 0 0 0 1.58118708350621 -3.4493407532269 -99 3.62121305801244 2.29645697534793 5.83679516715077 -2.20815864527675 0.0671440674263638 0.715399991993067 0.27025513764701 0.00249653582749802 -1
"29" 7535.27690584943 0.999999794345886 0 0 0 1.57249323692435 -3.3644161329026 -99 3.62169753514314 2.30708872752887 5.84181404887855 -2.19309231001743 0.0671445668089474 0.715399991991286 0.27025513764701 0.00249653582749802 -1
"30" 7933.19569686145 0.999999787488045 0 0 0 1.56366269283276 -3.2783880574943 -99 3.62219297501902 2.31790102814568 5.84694499687741 -2.17771767665552 0.0671436283207986 0.715399991989009 0.27025513764701 0.00249653582749802 -1
"31" 8352.61920468103 0.999999780503037 0 0 0 1.55466506748672 -3.19084757795041 -99 3.6227018406003 2.32893411278327 5.85218152736157 -2.16202352322468 0.0671428327334754 0.715399991986057 0.27025513764701 0.00249653582749802 -1
"32" 8793.58996886116 0.999999773399791 0 0 0 1.54537609833297 -3.10211425061807 -99 3.62318347508716 2.34014961679957 5.85751048765522 -2.14605803102232 0.0671417304985425 0.715399991982266 0.27025513764701 0.00249653582749802 -1
"33" 9257.31602893954 0.999999766178564 0 0 0 1.5361475098187 -3.01215688616027 -99 3.62372814031567 2.35155686309174 5.86293739553164 -2.12980440341068 0.0671403341693829 0.715399991977392 0.27025513764701 0.00249653582749801 -1
